title,link,pubDate
எதுக்கு இப்போதே முதல்வராக தயார் கட்சிக் கூட்டத்தை புறக்கணித்த அஜித் பவார்,https://www.vikatan.com/government-and-politics/politics/why-2024-i-am-now-ready-for-the-post-of-chief-minister-ajit-pawar,"Sat, 22 Apr 2023 09:57:43 +0000"
பன்னாட்டு முதலாளிகளுக்காகத் தமிழகத் தொழிலாளர்களின் உரிமைகளைப் பறிப்பது ஏற்கத்தக்கதல்லமநீம கண்டனம்,https://www.vikatan.com/government-and-politics/politics/makkal-needhi-maiam-says-govt-should-return-the-bill-for-laborers-12-hours-of-work,"Sat, 22 Apr 2023 08:43:47 +0000"
தேதி தொழிற்சங்கங்களுடன் அமைச்சர்கள் ஆலோசனை,https://www.vikatan.com/government-and-politics/politics/latest-tamil-news-live-updates-dated-on-22-04-2023,"Sat, 22 Apr 2023 02:50:03 +0000"
கலவரம் வேண்டாம் என் உயிரை விடவும் நான் தயார் ஆனால் நாட்டைப் பிளவுபட விட மாட்டேன் மம்தா ஆவேசம்,https://www.vikatan.com/government-and-politics/politics/i-am-ready-to-give-my-life-but-i-will-not-let-the-country-divide-says-west-bengal-cm-mamata-banerjee,"Sat, 22 Apr 2023 06:30:18 +0000"
அதிகாலையில் கால்கோள் விழா சர்ச்சையாகும் கொடி விவகாரம் ஓபிஎஸ் மாநாடு ஏற்பாட்டில் நடப்பது என்ன,https://www.vikatan.com/government-and-politics/politics/ops-trichy-conference-arrangements-and-flag-controversy,"Sat, 22 Apr 2023 05:01:42 +0000"
யாரும் கட்சிக்குத் தீங்கு விளைவிக்கும் எதையும் செய்யக் கூடாது கெலாட் அறிவுரை சச்சின் பைலட்டுக்கா,https://www.vikatan.com/government-and-politics/politics/should-not-say-or-do-anything-that-should-harm-the-party-cm-ashok-gehlot-advises-sachin-pilot,"Sat, 22 Apr 2023 05:00:59 +0000"
எடப்பாடி அசைன்மென்ட் முடித்துக்கொடுத்த காமராஜ் அதிமுகவில் ஒரத்தநாடு மாசேகர் இணைந்த பின்னணி,https://www.vikatan.com/government-and-politics/politics/masekar-moved-to-admk-from-amma-what-was-the-background,"Sat, 22 Apr 2023 04:23:07 +0000"
மணி நேர வேலை கார்ப்பரேட் முதலாளிகளுக்கு ஆதரவானது கொதிக்கும் இடதுசாரிகள்,https://www.vikatan.com/government-and-politics/governance/dmk-alliance-parties-condemn-the-government-for-12-hours-working-hour-bill-passed-in-the-assembly,"Sat, 22 Apr 2023 03:51:21 +0000"
துரைமுருகன் கூறுவதுபோல் தமிழ்நாட்டுக்குப் புதிய சட்டமன்றம் தேவையா விகடன் கருத்துக்கணிப்பு முடிவு,https://www.vikatan.com/government-and-politics/politics/vikatan-poll-result-about-minister-duraimurugan-appeal-for-new-assembly-building-for-tamilnadu,"Sat, 22 Apr 2023 02:00:00 +0000"
தேசியவாத காங்கிரஸ் தலைவர் சரத் பவாரைச் சந்தித்த அதானி திடீர் மீட்டின் அரசியல் பின்னணி என்ன,https://www.vikatan.com/government-and-politics/politics/gowtham-adani-met-sharad-pawar-what-was-behind-the-meeting,"Sat, 22 Apr 2023 01:30:00 +0000"
மக்கள் தொகை என்னும் மாபெரும் சக்தி,https://www.vikatan.com/government-and-politics/governance/world-population-rating-for-number-one-in-india,"Sat, 22 Apr 2023 00:20:00 +0000"
காங்கிரஸ் அமைச்சர் எங்களைக் கொடுமைப்படுத்தினார் வீடியோ பதிவுசெய்துவிட்டு ராஜஸ்தான் நபர் தற்கொலை,https://www.vikatan.com/government-and-politics/politics/38-year-old-rajasthan-man-commits-suicide-and-claims-congress-minister,"Fri, 21 Apr 2023 15:32:44 +0000"
மணிநேர வேலை பழிச்சொல்லுக்கு தமிழ்நாடு அரசு ஆளாக நேரிடும் கேபாலகிருஷ்ணன்,https://www.vikatan.com/government-and-politics/politics/latest-tamil-news-live-updates-dated-on-21-04-2023,"Fri, 21 Apr 2023 03:48:46 +0000"
பிரபலங்களின் ட்விட்டர் புளு டிக்கைப் பறித்த மஸ்க் சூடான் மோதல் தற்காலிக நிறுத்தம் உலகச் செய்திகள்,https://www.vikatan.com/ampstories/government-and-politics/politics/vikatan-international-news-roundup-21-04-2023,"Fri, 21 Apr 2023 13:34:04 +0000"
தினமும் தாக்கலாகும் ஆட்கொணர்வு மனு சிறுமிகள் குறித்து உயர் நீதிமன்ற மதுரை கிளை நீதிபதிகள் வேதனை,https://www.vikatan.com/government-and-politics/high-court-madurai-branch-judges-in-agony-over-abuse-cases,"Fri, 21 Apr 2023 12:53:25 +0000"
கோடி பிடிஆர் ஆடியோவில் உதயநிதி சபரீசன் நடவடிக்கை கோரும் அண்ணாமலை,https://www.vikatan.com/government-and-politics/politics/bjp-leader-annamalai-slams-dmk-government-over-minister-ptr-audio-controversy,"Fri, 21 Apr 2023 11:52:50 +0000"
மணிநேர வேலை எதிர்ப்புடன் நிறைவேறிய மசோதா வக்கீல் நோட்டீஸ் அண்ணாமலை பதில் விமர்சனம் யாத்திசை,https://www.vikatan.com/government-and-politics/vikatan-highlights-224,"Fri, 21 Apr 2023 11:55:38 +0000"
மணிநேர வேலை தொழிலாளர்கள் விரோத சட்டமா சட்டசபை விவாதத்தில் நடந்தது என்ன,https://www.vikatan.com/government-and-politics/policy/which-parties-opposed-the-new-factories-tamilnadu-amendment-bill-of-tamilnadu-in-the-assembly,"Fri, 21 Apr 2023 11:35:52 +0000"
,https://www.vikatan.com/government-and-politics/politics/ananda-vikatan-nambikkai-awards-soon-4-wheelers-with-lithium-battery-will-run-on-our-roads-dr-kalaiselvi,"Fri, 21 Apr 2023 11:05:15 +0000"
மன்னிப்புக் கேட்க முடியாது ஆர்எஸ்பாரதி வக்கீல் நோட்டீஸுக்கு அண்ணாமலை தரப்பு பதில்,https://www.vikatan.com/government-and-politics/politics/annamalais-response-to-rs-bhartis-notice-over-the-dmk-files-issue,"Fri, 21 Apr 2023 10:57:08 +0000"
எங்க நிலைமை யாருக்கும் வரக்கூடாது கதறிய கோகுல் ராஜ் அம்மா கலங்கிய திருமாவளவன்,https://www.vikatan.com/government-and-politics/judiciary/ppa-mohan-speech-at-ananda-vikatan-nambikkai-awards-2021-2022,"Fri, 21 Apr 2023 10:48:45 +0000"
பூத் கமிட்டி விவகாரத்தை நானே நேரடியாகக் கவனிப்பேன் கறார் காட்டும் எடப்பாடி பின்னணி என்ன,https://www.vikatan.com/government-and-politics/governance/eps-advices-to-aiadmk-district-secretaries-about-booth-committee,"Fri, 21 Apr 2023 10:32:42 +0000"
சென்னையில் விபி சிங் சிலை யார் இந்த விபிசிங் தமிழக அரசின் முடிவுக்குக் காரணம் என்ன,https://www.vikatan.com/government-and-politics/politics/about-vp-singh-contribution-to-social-justice-in-india,"Fri, 21 Apr 2023 10:09:47 +0000"
பாஜகவை பதம் பார்த்ததா இட ஒதுக்கீடு தனித் தீர்மானம் திமுக நகர்வின் பின்னணி என்ன,https://www.vikatan.com/government-and-politics/governance/is-the-separate-resolution-by-dmk-for-reservation-attacked-bjp,"Fri, 21 Apr 2023 09:37:45 +0000"
கர்நாடகத் தேர்தல் நிராகரிக்கப்பட்ட பன்னீர் தரப்பு வேட்பாளர்களின் வேட்புமனு,https://www.vikatan.com/government-and-politics/politics/karnataka-assembly-elections-nominations-of-panneers-candidates-to-be-rejected,"Fri, 21 Apr 2023 07:58:50 +0000"
தமிழ்நாடு சட்டமன்றம் ஆளுநருக்கு எதிராகச் சாட்டையைச் சுழற்றும் முதல்வர் அமைச்சர்கள்,https://www.vikatan.com/government-and-politics/politics/raj-bhavan-vs-legislative-assembly-chief-minister-ministers-activities-against-governor-ravi,"Fri, 21 Apr 2023 07:09:57 +0000"
மணிநேரமாக மாற்ற மசோதா நிறைவேற்றம் திமுக கூட்டணிக் கட்சிகள் எதிர்ப்பு,https://www.vikatan.com/government-and-politics/politics/tn-assembly-passed-a-bill-about-laborers-working-hours-change-into-8-to-12-hours,"Fri, 21 Apr 2023 08:51:45 +0000"
மணி ஹெயிஸ்ட்டுக்கு டஃப் கொடுக்கும் ஐபோன் ஹெயிஸ்ட் ஆப்பிள் ஸ்டோரில் கைவரிசை காட்டிய திருடர்கள்,https://www.vikatan.com/crime/apple-iphones-stolen-from-america-apple-store-by-masked-thieves,"Sat, 22 Apr 2023 08:00:36 +0000"
மக்கள் தொகை என்னும் மாபெரும் சக்தி,https://www.vikatan.com/government-and-politics/governance/world-population-rating-for-number-one-in-india,"Sat, 22 Apr 2023 00:20:00 +0000"
ஐ கடந்த பலி எண்ணிக்கை நெட்ஃபிளிக்ஸ் ஆவணப்பட சர்ச்சை உலகச் செய்திகள்,https://www.vikatan.com/ampstories/government-and-politics/politics/vikatan-international-news-roundup-20-04-2023,"Thu, 20 Apr 2023 14:40:05 +0000"
தீவிரவாத அமைப்புக்கு நிதியுதவி அளிக்க உதவியதாகக் குற்றச்சாட்டு லண்டனில் இந்தியர் கைது,https://www.vikatan.com/crime/indian-arrested-in-london-faces-extradition-to-us-on-suspicion-of-funding-terrorist-organisation,"Thu, 20 Apr 2023 12:58:09 +0000"
ஒரே நேரத்தில் விவசாயமும் மின்சாரமும் விவசாயிகளின் வருமானத்தை அதிகரிக்கும் அக்ரிவோல்டாயிக்ஸ்,https://www.vikatan.com/agriculture/farming/agrivoltaics-farm-produces-two-products-at-the-same-time-farmers-income-will-increase,"Thu, 20 Apr 2023 12:52:04 +0000"
அமெரிக்கப் பங்குச் சந்தையைக் கலக்கும் ரஜினி ரசிகர் கிரிஷ் மாத்ருபூதம்,https://www.vikatan.com/personal-finance/share-market/ananda-vikatan-nambikkai-awards-2021-and-2022-girish-mathrubootham,"Thu, 20 Apr 2023 12:29:43 +0000"
உலக மக்கள் தொகையில் முதலிடத்தில் இந்தியா ஐநா அறிக்கை சொல்வது என்ன,https://www.vikatan.com/humour-and-satire/current-affairs/india-got-first-place-in-world-population-report,"Thu, 20 Apr 2023 08:11:54 +0000"
எதுக்கு இப்போதே முதல்வராக தயார் கட்சிக் கூட்டத்தை புறக்கணித்த அஜித் பவார்,https://www.vikatan.com/government-and-politics/politics/why-2024-i-am-now-ready-for-the-post-of-chief-minister-ajit-pawar,"Sat, 22 Apr 2023 09:57:43 +0000"
பன்னாட்டு முதலாளிகளுக்காகத் தமிழகத் தொழிலாளர்களின் உரிமைகளைப் பறிப்பது ஏற்கத்தக்கதல்லமநீம கண்டனம்,https://www.vikatan.com/government-and-politics/politics/makkal-needhi-maiam-says-govt-should-return-the-bill-for-laborers-12-hours-of-work,"Sat, 22 Apr 2023 08:43:47 +0000"
தேதி தொழிற்சங்கங்களுடன் அமைச்சர்கள் ஆலோசனை,https://www.vikatan.com/government-and-politics/politics/latest-tamil-news-live-updates-dated-on-22-04-2023,"Sat, 22 Apr 2023 02:50:03 +0000"
கலவரம் வேண்டாம் என் உயிரை விடவும் நான் தயார் ஆனால் நாட்டைப் பிளவுபட விட மாட்டேன் மம்தா ஆவேசம்,https://www.vikatan.com/government-and-politics/politics/i-am-ready-to-give-my-life-but-i-will-not-let-the-country-divide-says-west-bengal-cm-mamata-banerjee,"Sat, 22 Apr 2023 06:30:18 +0000"
அதிகாலையில் கால்கோள் விழா சர்ச்சையாகும் கொடி விவகாரம் ஓபிஎஸ் மாநாடு ஏற்பாட்டில் நடப்பது என்ன,https://www.vikatan.com/government-and-politics/politics/ops-trichy-conference-arrangements-and-flag-controversy,"Sat, 22 Apr 2023 05:01:42 +0000"
யாரும் கட்சிக்குத் தீங்கு விளைவிக்கும் எதையும் செய்யக் கூடாது கெலாட் அறிவுரை சச்சின் பைலட்டுக்கா,https://www.vikatan.com/government-and-politics/politics/should-not-say-or-do-anything-that-should-harm-the-party-cm-ashok-gehlot-advises-sachin-pilot,"Sat, 22 Apr 2023 05:00:59 +0000"
எடப்பாடி அசைன்மென்ட் முடித்துக்கொடுத்த காமராஜ் அதிமுகவில் ஒரத்தநாடு மாசேகர் இணைந்த பின்னணி,https://www.vikatan.com/government-and-politics/politics/masekar-moved-to-admk-from-amma-what-was-the-background,"Sat, 22 Apr 2023 04:23:07 +0000"
மணி நேர வேலை கார்ப்பரேட் முதலாளிகளுக்கு ஆதரவானது கொதிக்கும் இடதுசாரிகள்,https://www.vikatan.com/government-and-politics/governance/dmk-alliance-parties-condemn-the-government-for-12-hours-working-hour-bill-passed-in-the-assembly,"Sat, 22 Apr 2023 03:51:21 +0000"
துரைமுருகன் கூறுவதுபோல் தமிழ்நாட்டுக்குப் புதிய சட்டமன்றம் தேவையா விகடன் கருத்துக்கணிப்பு முடிவு,https://www.vikatan.com/government-and-politics/politics/vikatan-poll-result-about-minister-duraimurugan-appeal-for-new-assembly-building-for-tamilnadu,"Sat, 22 Apr 2023 02:00:00 +0000"
தேசியவாத காங்கிரஸ் தலைவர் சரத் பவாரைச் சந்தித்த அதானி திடீர் மீட்டின் அரசியல் பின்னணி என்ன,https://www.vikatan.com/government-and-politics/politics/gowtham-adani-met-sharad-pawar-what-was-behind-the-meeting,"Sat, 22 Apr 2023 01:30:00 +0000"
மக்கள் தொகை என்னும் மாபெரும் சக்தி,https://www.vikatan.com/government-and-politics/governance/world-population-rating-for-number-one-in-india,"Sat, 22 Apr 2023 00:20:00 +0000"
காங்கிரஸ் அமைச்சர் எங்களைக் கொடுமைப்படுத்தினார் வீடியோ பதிவுசெய்துவிட்டு ராஜஸ்தான் நபர் தற்கொலை,https://www.vikatan.com/government-and-politics/politics/38-year-old-rajasthan-man-commits-suicide-and-claims-congress-minister,"Fri, 21 Apr 2023 15:32:44 +0000"
மணிநேர வேலை பழிச்சொல்லுக்கு தமிழ்நாடு அரசு ஆளாக நேரிடும் கேபாலகிருஷ்ணன்,https://www.vikatan.com/government-and-politics/politics/latest-tamil-news-live-updates-dated-on-21-04-2023,"Fri, 21 Apr 2023 03:48:46 +0000"
பிரபலங்களின் ட்விட்டர் புளு டிக்கைப் பறித்த மஸ்க் சூடான் மோதல் தற்காலிக நிறுத்தம் உலகச் செய்திகள்,https://www.vikatan.com/ampstories/government-and-politics/politics/vikatan-international-news-roundup-21-04-2023,"Fri, 21 Apr 2023 13:34:04 +0000"
தினமும் தாக்கலாகும் ஆட்கொணர்வு மனு சிறுமிகள் குறித்து உயர் நீதிமன்ற மதுரை கிளை நீதிபதிகள் வேதனை,https://www.vikatan.com/government-and-politics/high-court-madurai-branch-judges-in-agony-over-abuse-cases,"Fri, 21 Apr 2023 12:53:25 +0000"
கோடி பிடிஆர் ஆடியோவில் உதயநிதி சபரீசன் நடவடிக்கை கோரும் அண்ணாமலை,https://www.vikatan.com/government-and-politics/politics/bjp-leader-annamalai-slams-dmk-government-over-minister-ptr-audio-controversy,"Fri, 21 Apr 2023 11:52:50 +0000"
மணிநேர வேலை எதிர்ப்புடன் நிறைவேறிய மசோதா வக்கீல் நோட்டீஸ் அண்ணாமலை பதில் விமர்சனம் யாத்திசை,https://www.vikatan.com/government-and-politics/vikatan-highlights-224,"Fri, 21 Apr 2023 11:55:38 +0000"
மணிநேர வேலை தொழிலாளர்கள் விரோத சட்டமா சட்டசபை விவாதத்தில் நடந்தது என்ன,https://www.vikatan.com/government-and-politics/policy/which-parties-opposed-the-new-factories-tamilnadu-amendment-bill-of-tamilnadu-in-the-assembly,"Fri, 21 Apr 2023 11:35:52 +0000"
முறை எவரெஸ்ட் சிகரம் ஏறிய வீரர் மரணம் பீஜிங் மருத்துவமனையில் தீ விபத்து உலகச் செய்திகள்,https://www.vikatan.com/ampstories/government-and-politics/politics/vikatan-international-news-roundup-19-04-23,"Wed, 19 Apr 2023 12:57:51 +0000"
ஆண்டுகள் பழைமையான கடவுள் சிலை கண்டுபிடிப்பு உலகச் செய்திகள்,https://www.vikatan.com/ampstories/government-and-politics/politics/vikatan-international-news-roundup-18-04-23,"Tue, 18 Apr 2023 13:29:33 +0000"
அமெரிக்காவில் முடிவுக்கு வருகிறதா டப்பர்வேர் தயாரிப்புகள்,https://www.vikatan.com/business/ending-tupperware-products-in-america,"Tue, 18 Apr 2023 12:59:15 +0000"
போட்டியில் முதல் பரிசு சம்பளத்துடன் ஒரு வருடம் விடுமுறை ஊழியரை ஆச்சர்யப்படுத்திய சீன நிறுவனம்,https://www.vikatan.com/trending/viral/employee-in-china-wins-365-days-of-paid-leave-in-company,"Mon, 17 Apr 2023 14:13:37 +0000"
விண்ணில் பாயத் தயாராகும் மஸ்க்கின் ராக்கெட் மன்னிப்புக் கேட்ட ஸ்காட்லாந்து எம்பி உலகச் செய்திகள்,https://www.vikatan.com/ampstories/government-and-politics/politics/vikatan-international-news-roundup-17-04-23,"Mon, 17 Apr 2023 13:29:10 +0000"
மூலம் மகளைப்போல் பேசி தாயிடம் பணம் பறிக்க முயன்ற கும்பல்,https://www.vikatan.com/crime/kidnapper-gang-uses-girl-voice-through-ai-and-try-to-scam-her-mom,"Mon, 17 Apr 2023 11:08:20 +0000"
அமெரிக்கா சீனா ஐக்கிய அமீரகம் இந்திய வர்த்தகத்தில் முதலிடத்தைப் பிடிக்கும் நாடு எது,https://www.vikatan.com/business/economy/us-emerges-indias-biggest-trade-partner,"Mon, 17 Apr 2023 08:37:03 +0000"
இன்ச் அதிகரிக்க கோடி ரூபாய் செலவிட்ட நபர்ஓவிய ஏற்றுமதிக்கு இங்கிலாந்து தடை உலகச் செய்திகள்,https://www.vikatan.com/ampstories/government-and-politics/politics/vikatan-international-news-roundup-16-04-2023,"Sun, 16 Apr 2023 08:33:56 +0000"
அமெரிக்கா சிறைக் கைதியை உயிருடன் தின்றனவா மூட்டைப்பூச்சிகள் அதிர்ச்சியைக் கிளப்பிய மரண விவகாரம்,https://www.vikatan.com/crime/us-man-found-dead-inside-prison-cell-infested-with-bed-bugs,"Sun, 16 Apr 2023 07:23:00 +0000"
மாடுகள் பரிதாபமாக பலியான சோகம்,https://www.vikatan.com/agriculture/organic-farming/over-18000-farm-cows-die-in-explosion-in-texas-america,"Sat, 15 Apr 2023 13:02:42 +0000"
நாள்கள் குகைக்குள் தனியாக வாழ்ந்த பெண் உலகச் செய்திகள்,https://www.vikatan.com/ampstories/government-and-politics/politics/vikatan-international-news-roundup-15-04-23,"Sat, 15 Apr 2023 10:46:31 +0000"
இலங்கைத் தீவில் மட்டுமே வசிக்கும் செங்குரங்குகள் சீனாவுக்கு லட்சக்கணக்கில் ஏற்றுமதி பின்னணி என்ன,https://www.vikatan.com/environment/living-things/sri-lanka-exports-monkeys-to-china-what-is-the-reason,"Sat, 15 Apr 2023 10:02:25 +0000"
